"Activity ID","realization Of","Activity name","Required","Definition","Source","Goal","Who","Input","Output","Specializations","Related tasks","Comment","publications","resources"
"A43","P51","Ontology Summarization Activity NeOn","","the activity of providing an abstract or summary of the ontology content. Note: The summary can include, for example, a couple of top levels in the ontology class hierarchy (perhaps a graphical representation of these top-level concepts and links between them).","NeOn531","","","","","","","","",""
"A44","P52","Ontology Translation Activity NeOn","","the activity of changing the representation formalism or language of an ontology from one to another. Note: Ontology Translation can be part of an ontology reengineering process.","NeOn531","","","","","","","","",""
"A45","P53","Ontology Update Activity NeOn","","minor changes carried out in an ontology that could not be considered an upgrade.","NeOn531","","","","","","","","",""
"A46","P54","Ontology Upgrade Activity NeOn","yes","the activity of replacing an existing ontology with a new version.","NeOn531","","","","","","","","",""
"A47","P55","Ontology Validation Activity NeOn","yes","the ontology evaluation that compares the meaning of the ontology definitions against the intended model of the world aiming to conceptualize. Note: It answers the question: Are you producing the right ontology?.","NeOn531","","","","","","","","",""
"A48","P56","Ontology Verification Activity NeOn","yes","the ontology evaluation which compares the ontology against the ontology specification document (ontology requirements and competency questions), thus ensuring that the ontology is built correctly (in compliance with the ontology specification). Note: It answers the question: Are you producing the ontology right?.","NeOn531","","","","","","","","",""
"A49","P57","Ontology Versioning Activity NeOn","yes","the activity of handling ontology changes by creating and managing different versions of the ontology [1]. -- [1]  L. Stojanovic. Methods and Tools for Ontology Evolution. Dissertation. 2004. Referee: Rudi Studer, Christof Weinhardt, Asunción Gómez-Pérez. ","NeOn531","","","","","","","","Pub1",""
"A50","P68","Ontology Design Pattern Reuse Activity NeOn","","the activity of using ontology design patterns in the solution of different modelling problems during the development of new ontologies","NeOn541","","","","","","TA_NeOn_21,  TA_NeOn_22, TA_NeOn_23,  TA_NeOn_24,  TA_NeOn_25,  TA_NeOn_26,  TA_NeOn_27,  TA_NeOn_28","","",""
"A51","P59","Ontology Module Assessment Activity NeOn","","The goal of ontology module assessment is to find out which ontology modules, from the set of candidate ontology modules, are useful for the development of the ontology network.","NeOn543","","","","","","","","",""
"A52","P60","Ontology Module Selection Activity NeOn","","The objective of this activity is to find out which ontology modules are the most suitable for the development of the ontology network.","NeOn543","","","","","","","","",""
"A53","P61","Ontology Module Integration Activity NeOn","","The objective of this activity is to integrate the ontology modules selected in the ontology network being developed.","NeOn543","","","","","","","","",""
"A54","P62","Domain Ontology Search Activity NeOn","","The objective of this activity is to search in libraries, repositories and registries for candidate domain ontologies that could satisfy the needs of the ontology network being developed.","NeOn541","","","","","","","","",""
"A55","P63","Domain Ontology Assessment Activity NeOn","","The objective of this activity is to find out if the set of candidate domain ontologies are useful for the development of the ontology network.","NeOn541","","","","","","","","",""
"A56","P64","Domain Ontology Selection Activity NeOn","","The objective of this activity is to find out which domain ontologies are the most suitable for the development of the ontology network.","NeOn541","","","","","","","","",""
"A57","P65","Domain Ontology Integration Activity NeOn","","The objective of this activity is to integrate the selected domain ontologies in the ontology network being developed.","NeOn541","","","","","","","","",""
"A58","P66","Ontology Statement Search Activity NeOn","","The goal of this activity is to search the internet for candidate ontology statements that could satisfy the ontological needs in a particular case","NeOn541","","","","","","","","",""
"A59","P67","Ontology Statement Assessment Activity NeOn","","The goal of this activity is to decide if a concrete ontology statement is useful or not for the ontology network being developed.","NeOn541","","","","","","","","",""
"A60","P68","Ontology Statement Selection Activity NeOn","","The goal of this activity is to decide between the useful ontology statements which ones are the best or most convenient for the ontology network being developed.","NeOn541","","","","","","","","",""
"A61","P69","Ontology Statement Integration Activity NeOn","","The goal of this activity is to decide how the selected ontology statements will be integrated in the ontology network being developed","NeOn541","","","","","","","","",""
"A62","P70","Check local inconsistencies Activity NeOn","","The goal of this activity is to check for local inconsistencies in the ontology network.","NeOn541","","","","","","","","",""
"A63","P71","Common Ontology Selection Activity NeOn","","The most important definitions and axioms (e.g. transitivity of part of in mereology), and those that distinguish the different variants of the support theory should be identified.","NeOn541","","","","","","","","",""
"A64","P72","Common Ontology Customization Activity NeOn","","Customize the selected common ontology according to the needs of the host ontology.","NeOn541","","","","","","","","",""
"A65","P73","Common Ontology Integration Activity NeOn","","The customized common ontology is included in the destination ontology, and the global result is evaluated again, whereas the host ontology is the ontology network which is being developed.","NeOn541","","","","","","","","",""
"A66","P74","Carry out the Background Study on the Support Theory Activity NeOn","","The ontology development team should study the theory (and its variants) that supports the type of common ontology to be reused","NeOn541","","","","","","","","",""
"A67","P75","Identify the most significant definitions and axioms of the support theory Activity NeOn","","The most important definitions and axioms (e.g. transitivity of part of in mereology), and those that distinguish the different variants of the support theory should be identified","NeOn541","","","","","","","","",""
"A68","P76","Search for common ontologies supported by the theory Activity NeOn","","The ontology development team should search for ontologies implemented in a computable language","NeOn541","","","","","","","","",""
"A69","P77","Build the comparative study Activity NeOn","","It is assumed that each row represents the set of definitions (or axioms) identified in activity 2, and each column, the ontologies found in activity 3","NeOn541","","","","","","","","",""
"A70","P78","Non-ontological resource search","","The goal of the activity is to search non-ontological resources from highly reliable Web sites, domain-related sites and resources within organizations. Domain experts, software developers and ontology practitioners carry out this activity taking as input the ontology requirements specification document (ORSD). They use those terms that have a highest frequency in the ORSD to search for candidate non-ontological resources that cover the desired terminology. The activity output is a set of candidate non-ontological resources that might present any of the identified typologies described in D5.4.1 [1]. -- [1] D5.4.1. NeOn Methodology for Building Contextualized Ontology Networks","NeOn542","The goal of the activity is to search non-ontological resources from highly reliable Web sites, domain-related sites and resources within organizations","R1,R2,R3","INF_NeOn_14","INF_NeOn_16","","","","NeOn541",""
"A71","P79","Non-ontological resource assessment","","The goal of this activity is to assess the set of candidate non-ontological resources. Domain experts, software developers and ontology practitioners carry out this activity taking as input the set of candidate non-ontological resources. We propose to take into account the following criteria: coverage and precision, which are measurable criteria; and consensus, which is a subjective criterion. The activity output is an assessment table that shows the evaluation criteria for every non-ontological resource. Within this activity we propose in this deliverable to include the quality of the non-ontological resource. Quality attributes include:  Well documentation of the non-ontological resources.  Lack of anomalies of the non-ontological resource, such redundancies or inconsistencies.  Reliability of the non-ontological resource, it means analysing whether we can trust in the resource or not. ","NeOn542","The goal of this activity is to assess the set of candidate non-ontological resources.","R1,R2,R3","INF_NeOn_16","INF_NeOn_21","","TA_NeOn_9,  TA_NeOn_10,  TA_NeOn_11,  TA_NeOn_12,  TA_NeOn_13, TA_NeOn_14","","",""
"A72","P86","Non-ontological Resource Selection","","The goal of this activity is to select the most appropriate non ontological resources. Domain experts, software developers and ontology practitioners carry out this activity taking as input the non ontological resource assessment table. The selection is performed manually and looking for resources with:  • Consensus. This criterion is taken into account in the first place, since if the resource to be reused contains terminology already consensuated by the community, the effort and time spent in finding out the right labels for the ontology terms will decrease considerably.  • High value of coverage. This criterion is taken into account in the second place, because our second concern is to consider most of the identified terms of the ORSD.  • High value of precision. This criterion is taken into account in the third place, because our third concern is the proportion of non ontological lexical entries over the identified terms of the ORSD. The activity output is a ranked list of non ontological resources that to some extend covers the expected domain.","NeOn542","The goal of this activity is to select the most appropriate non ontological resources.","R1,R2,R3","INF_NeOn_21","INF_NeOn_15","","","","",""
"A73","P87","Non-ontological Resource Reverse Reengineering","","The goal of this activity is to analyze a NOR to identify its underlying components and create representations of the resource at the different levels of abstraction (design, requirements and conceptual). Since NORs can be implemented as XML files, databases or spreadsheets among others, we can consider them as software resources, and therefore, we use the software abstraction levels (implementation, design, requirements and conceptual). Here the requirements and the essential design, structure and content of the NOR must be recaptured.","NeOn542","","","INF_NeOn_15","","","","","",""
"A74","P91","Non-ontological Resource Transformation","","The goal of this activity is to generate a conceptual model from the NOR. We propose the use of Patterns for Re-engineering Non-Ontological Resources (PR-NOR) to guide the transformation process","NeOn542","","","","","","","","",""
"A75","P50","Requirements workflow UPON","","Capturing requirements consists in specifying the semantic needs and user view of the knowledge to be encoded in the ontology. This activity requires an agreement between application modelers, KEs, and end users [1]. -- [1] I. Jacobson, G. Booch, J. Rumbaugh, The Unified Software Development Process, Addison Wesley, USA, 1999.","UPON","","R1,R2","INF_UPON_1,  INF_UPON_2","INF_UPON_3,  INF_UPON_4,  INF_UPON_5","","","","Pub2",""
"A76","P30","Analysis workflow UPON","","The conceptual analysis concerns the refinement and structuring of the ontology requirements identified in the previous workflow.","UPON","","","","INF_UPON_12, INF_UPON_13, INF_UPON_14","","TA_UPON_7,  TA_UPON_8,  TA_UPON_9,  TA_UPON_10, ","","",""
"A77","P13","Design workflow UPON","","The main goal of this workflow (Fig. 10) is to give an ontological structure to the set of glossary entries gathered in the reference glossary.","UPON","","","INF_UPON_14,  INF_UPON_17,  INF_UPON_18","INF_UPON_19","","TA_UPON_11,  TA_UPON_12","","",""
"A78","P28","Implementation workflow UPON","","The purpose of this workflow (Fig. 13) is to encode the ontology in a rigorous, formal language. For this reason, the activities of this workflow are mainly performed by KEs as shown in the expert involvement schema of Fig. 13.","UPON","","","INF_UPON_19","INF_UPON_20","","","","",""
"A79","P55,  P56","Test workflow UPON","","According to [1], the quality of an ontology is a multidimensional feature. The test workflow (Fig. 15) is conceived to verify the semantic and pragmatic quality of the ontology, since syntactic quality is checked in the previous workflow and social quality can be checked only after its publication. -- [1] A. Burton-Jones, et al., A semiotic metrics suite for assessing the quality of ontologies, Data Knowl. Eng. 55 (2005).","UPON","","","INF_UPON_20","INF_UPON_21","","TA_UPON_13,  TA_UPON_14,  TA_UPON_15","","Pub3",""
"A80","P129","Define a new Test-case SAMOD","","OEs collect all the information about a specific domain, with the help of DEs, in order to build a modelet formalising the domain in consideration, following certain ontology development principles, and then create a new test case that includes the modelet. If everything works fine (i.e., all model, data and query test are passed) release a milestone and proceed;","SAMOD","","R1, R2","","","","TA_SAMOD_1,  TA_SAMOD_2,  TA_SAMOD_3, TA_SAMOD_4,  TA_SAMOD_5,  TA_SAMOD_6,  TA_SAMOD_7,  TA_SAMOD_8,  TA_SAMOD_9","","",""
"A81","P130","Merge the current model with the modelet SAMOD","","OEs merge the modelet of the new test case with the current model produced by the end of the last process iteration, and consequently update all the test cases in BoT specifying the new current model as TBox. If everything works fine (i.e., all model, data and query test are passed according to their formal requirements only) release a milestone and proceed;","SAMOD","","R1","INF_SAMOD_11, INF_SAMOD_5","","","","","",""
"A82","P131","Refactor the current model SAMOD","","OEs refactor the current model, in particular focussing on the last part added in the previous step, taking into account good practices for ontology development processes. If everything works fine (i.e., all model, data and query test are passed) release a milestone. In case there is another motivating scenario to be addressed, iterate the process, otherwise stop. In the last step, OEs work to refactor the current model, shared among all the test cases in BoT, and, accordingly, each ABox and SQ of each test case, if needed. In doing that task, OEs must strictly follow the following principles: – Reuse existing knowledge. Reusing concepts and relations defined in other models is encouraged and often labelled as a common good practice [1]. The reuse can result either in including external entities in the current model as they are or in providing an alignment (An alignment is set of correspondences between entities belonging to two models different models. ) or an harmonisation (harmonisation is the process of modifying a model (and also to align it, if necessary) to fully fit or include it into another model. ) with another model. – Document it. Adding annotations – i.e., labels (i.e., rdfs:label), comments (i.e., rdfs:comment), and provenance information (i.e., rdfs:isDefinedBy) – on ontological entities, so as to provide natural language descriptions of them, using at least one language (e.g., English). It is an important aspect to take into consideration, since there are several tools available, e.g., LODE [2], that are able to process an ontology in source format and to produce an HTML human-readable documentation of it starting from the annotations it has specified. – Take advantages from technologies. When possible, enriching the current model by using all the capabilities offered by the formal language in which it is developed – e.g., when using OWL 2 DL: keys, property characteristics (transitivity, symmetry, etc.), property chains, inverse properties and the like – in order to infer automatically as much information as possible starting from a (possible) small set of real data. In particular, it is important to avoid over-classifications, for instance by specifying assertions that may be automatically inferred by a reasoner – e.g., in creating an inverse property of a property P it is not needed to define explicitly its domain and range because they will be inferred from P itself. -- [1] Uschold, M., & King, M. (1995). Towards a Methodology for Building Ontologies. In Workshop on Basic Ontological Issues in Knowledge Sharing. http://www.aiai. ed.ac.uk/publications/documents/1995/95-ont-ijcai95-ont-method.pdf [2] Peroni, S., Shotton, D., Vitali, F. (2012). The Live OWL Documentation Environment: a tool for the automatic generation of ontology documentation. In Proceedings of the 18th International Conference on Knowledge Engineering and Knowledge Management (EKAW 2012): 398–412. http://dx.doi.org/10.1007/978-3-642-33876-2_35 ","SAMOD","","R1","","","","","","Pub4, Pub5","Res1"
