"Information Item ID","realization Of","Name","Description (characteristics)","Source information item","Source definition","publications","resources"
"INF_NeOn_30","INF30","Identified Ontology Design Pattern Types","","NeOn542","","",""
"INF_UPON_1","INF31","Domain Experts interview outcome","","UPON","","",""
"INF_UPON_2","INF32","Application specific documents","","UPON","","",""
"INF_UPON_3","INF33","Application Lexicon","A lexicon is defined as the set of terms L = {t_i}, being i elementOf N and i <= i_max, where i_max = |L| An application Lexicon, AL, is a lexicon where the terms pertain to a given application APP, as stated by a community of application experts AL = {at_i elementOf L |pertains(at_i, APP)|, being i elementOf N","UPON","","",""
"INF_UPON_4","INF6","Ontology CQs (natural language) UPON","","UPON","","",""
"INF_UPON_5","INF5","Ontology use-cases UPON","","UPON","","",""
"INF_UPON_6","INF34","Ontology Domain UPON","","UPON","","",""
"INF_UPON_7","INF2","Ontology Scope UPON","","UPON","","",""
"INF_UPON_8","INF1","Ontology Purpose UPON","","UPON","","",""
"INF_UPON_9","INF4","Ontology Intended users UPON","","UPON","","",""
"INF_UPON_10","INF35","Storyboard","A panel or series of panels of rough sketches outlining the sequence of the activities that take place in a particular scenario.","UPON","","",""
"INF_UPON_11","INF10","Ontology Use-cases Priorities UPON","","","","",""
"INF_UPON_12","INF36","Domain Lexicon","The domain lexicon is a lexicon validated by a community of domain experts. DL = {dt_i elemtnOf L|pertains(dt_i, Dom)}, being i elementOf N, where Dom is the domain of interest.","UPON","","",""
"INF_UPON_13","INF37","Reference Lexicon","The reference lexicon is a lexicon validated by a community of application and domaine xperts with the coordination of knowledge engieners. RL = (AL intersection DL) union deltaAL union deltaDL, where  deltaAL = {t_i elementOf AL\DL|approved(t_i)}, being i elementOf N, and deltaDL = {t_i elementOf DL\AL|approved(t_i)}, being i elementOf N","UPON","","",""
"INF_UPON_14","INF38","Reference Glossary","A glossary G is defined as the finite set of terms belonging to a lexicon L paired with the corresponding descriptions validated by the reference community. The couple term and description is defined as the glossary entry gi. The reference glossary, RG, is a glossary validated by a community of application and domain experts with the coordination of knowledge engineers. G = {<t_i, des_i> | t_i elementOf L caret des_i elementOf DES caret validated(t_i, des_i)},  g_i = <t_i, des_i>, being i elementOf N RG subset RL x DES RL = {rt_i}, being i elementOf N DES = {des_i}, being i elementOf N, where des_i is the textual description of term t_i","UPON","","",""
"INF_UPON_15","INF53","Ontological Resource reuse candidates","","UPON","","",""
"INF_UPON_16","INF16","Non-ontological resource reuse candidates","","UPON","","",""
"INF_UPON_17","INF54","UML class diagrams","","UPON","","",""
"INF_UPON_18","INF55","UML activity diagrams","","UPON","","",""
"INF_UPON_19","INF56","Semantic Network","Given a finite set C of concepts and a finite set R of relationships established among concepts, a SN is defined as SN = (C,R) C = {c_i}, being i elementOf N R = IsA union De union DR = { <c_i, c_k> } subset C x C and i,k elementOf N where isA = { < c_i, c_k > | gen(c_i, c_k)}, De = { < c_i, c_k > | partOf(c_i, c_k)}, DR = { < c_i, c_k > | rel(c_i, c_k)}. where gen, partOf, and rel are, respectively, the generalization, the aggregation, and the association relationships","UPON","","",""
"INF_UPON_20","INF23","Ontology (implemented) UPON","","UPON","","",""
"INF_UPON_21","INF57","Ontology (tested)","","UPON","","",""
"INF_SAMOD_1","INF35","Motivating scenarios (MS) SAMOD","A motivating scenario [1] is a small story problem that provides a short description and a set of informal and intuitive examples to the problem it talks about. Usually, it implicitly bring with it an informal and intended semantics hidden behind natural language descriptions. In our methodology, a motivation scenario is composed by: – a name that characterises it; – a natural language description that presents a problem to address; – one or more examples according to the description. MS = (name; description; one or more examples) -- [1] M. Uschold, M. Gruninger, Ontologies: principles, methods and applications, Knowl. Eng. Rev. 11 (2) (1996).","SAMOD","","Pub18",""
"INF_SAMOD_2","INF6","Informal competency questions (CQ) SAMOD","CQ = (ID; question; kind of outcome; example answers based on scenario; IDs of higher level informal competency questions)","SAMOD","","",""
"INF_SAMOD_3","INF12, INF38","Glossary of Terms (GoT) SAMOD","","SAMOD","","",""
"INF_SAMOD_4","INF7","Formal competency questions (SQ) SAMOD","Set of queries written in a formal language","SAMOD","","",""
"INF_SAMOD_5","INF58","Modelet SAMOD","A modelet is a stand-alone model describing a particular domain. By definition , a modelet does not include entities from other models and it is not included in other models.  Modelet = (MS; CQ; GoT; TBox; ABox; SQ)","SAMOD","","",""
"INF_SAMOD_6","INF59","Bag of test-cases (BoT) SAMOD","","SAMOD","","",""
"INF_SAMOD_7","INF60","TBox SAMOD","","SAMOD","","",""
"INF_SAMOD_8","INF61","ABox SAMOD","","SAMOD","","",""
"INF_SAMOD_9","INF62","TBox_n SAMOD","The model of the current iteration","SAMOD","","",""
"INF_SAMOD_10","INF63","ABox_n SAMOD","The instance data of the current iteration","SAMOD","","",""
"INF_SAMOD_11","INF64","Modelet_n SAMOD","","SAMOD","","",""
